Movement_Date,GLN_Code,EAN_Code,Base_Unit_Code,Stock,Transit,Shipped,OOS
8/17/2020,4080398539419,4790685001034,9500704337,2088,0,1104,0
8/17/2020,4080398539419,4790685003515,9500704336,4488,0,288,0
8/17/2020,4080398539419,4790685004561,9500739441,1821,1296,0,279
8/17/2020,4080398539419,4790685004528,9500736916,1288,864,198,0
8/17/2020,4080398539419,4790685004585,9500736917,1009,864,233,0
8/17/2020,4080398539419,4790685004622,9500736917,1323,99,36,0
8/17/2020,4080398539419,4790685005035,9500736937,45,0,0,0
8/17/2020,4080398539419,4790685006551,9500733337,432,1080,96,0
8/17/2020,4080398539419,4790685006800,9500738679,1639,0,0,0
8/17/2020,4080398539419,4790685002420,9500777987,4320,1728,312,0
8/17/2020,4080398539419,4790685009313,9500753387,44761,13392,5503,0
8/17/2020,4080398539419,4790685010814,9500754147,4033,0,88,0
8/17/2020,4080398539419,4790685019550,9500306461,576,612,116,0
8/17/2020,4080398539419,4790685019928,9500785880,205,0,0,0
8/17/2020,4080398539419,4790685053558,9500305897,87798,0,580,0
8/17/2020,4080398539419,4790685054163,9500318810,72,207,36,0
8/17/2020,4080398539419,4790685054484,9500395894,197,0,0,96
8/17/2020,4080398539419,4790685054551,9500395895,0,3672,0,0
8/17/2020,4080398539419,4790685043992,9500765956,1099,864,153,0
8/17/2020,4080398539419,4790685500508,9500188046,10951,6048,408,0
8/17/2020,4080398539419,4790685500406,9500188101,102,0,0,0
8/17/2020,4080398539419,4790685508050,9500184495,27521,4320,400,0
8/17/2020,4080398539419,4790685551453,9500188950,6648,0,168,0
8/17/2020,4080398539419,4790685402052,9500188107,13734,0,1356,0
8/17/2020,4080398539419,4790685402501,9500184411,3830,3200,840,0
8/17/2020,4080398539419,4790685430544,9500750956,121307,13824,8584,0
8/17/2020,4080398539419,4790685483151,1011075037,3303,2844,34,0
8/17/2020,4080398539419,4790685483425,9500184418,9041,16000,100,0
8/17/2020,4080398539419,4790685483200,9500188110,18484,27648,144,0
8/17/2020,4080398539419,4790685535019,9500187548,0,0,9,0
8/17/2020,4080398539419,4790685552456,9500773538,3670,1728,384,0
8/17/2020,4080398539419,4790685552500,9505073046,61,3600,16,244
8/17/2020,4080398539419,4790685525450,9500188106,9134,0,72,0
8/17/2020,4080398539419,4790685525424,9500105764,9680,0,60,0
8/17/2020,4080398539419,4790685663501,9500167987,7978,0,40,0
8/17/2020,4080398539419,4790685695486,9500350606,2744,0,20,0
8/17/2020,4080398539419,4790685265505,9505057956,160,0,60,20
8/18/2020,4080398539419,4790685000310,9500188105,47034,0,4584,0
8/18/2020,4080398539419,4790685000555,9500188108,17041,0,312,0
8/18/2020,4080398539419,4790685000884,9500959798,6846,31104,6120,0
8/18/2020,4080398539419,4790685001034,9500704337,2088,0,0,0
8/18/2020,4080398539419,4790685003515,9500704336,4440,0,72,0
8/18/2020,4080398539419,4790685004561,9500739441,1479,6048,342,0
8/18/2020,4080398539419,4790685004528,9500736916,838,0,440,0
8/18/2020,4080398539419,4790685004585,9500736917,748,864,279,0
8/18/2020,4080398539419,4790685004622,9500736917,1296,99,27,0
8/18/2020,4080398539419,4790685005035,9500736937,45,0,0,0
8/18/2020,4080398539419,4790685006551,9500733337,0,720,432,96
8/18/2020,4080398539419,4790685006800,9500738679,1619,0,20,0
8/18/2020,4080398539419,4790685002420,9500777987,4056,1728,264,0
8/18/2020,4080398539419,4790685009313,9500753387,39419,13392,5310,0
8/18/2020,4080398539419,4790685010814,9500754147,3889,0,144,0
8/18/2020,4080398539419,4790685019550,9500306461,459,0,117,0
8/18/2020,4080398539419,4790685019928,9500785880,205,0,0,0
8/18/2020,4080398539419,4790685053558,9500305897,86318,0,1480,0
8/18/2020,4080398539419,4790685054163,9500318810,0,207,72,9
8/18/2020,4080398539419,4790685054479,9500395517,0,0,24,0
8/18/2020,4080398539419,4790685054484,9500395894,197,0,0,0
8/18/2020,4080398539419,4790685054551,9500395895,0,6672,0,0
8/18/2020,4080398539419,4790685043992,9500765956,1000,0,99,0
8/18/2020,4080398539419,4790685500508,9500188046,10375,0,600,0
8/18/2020,4080398539419,4790685500406,9500188101,102,0,0,0
8/18/2020,4080398539419,4790685508050,9500184495,27161,0,380,0
8/18/2020,4080398539419,4790685551453,9500188950,6624,0,0,0
8/18/2020,4080398539419,4790685402052,9500188107,12582,0,1152,0
8/18/2020,4080398539419,4790685402501,9500184411,2930,3200,900,0
8/18/2020,4080398539419,4790685430544,9500750956,111155,13824,9960,0
8/18/2020,4080398539419,4790685483151,1011075037,3159,0,144,0
8/18/2020,4080398539419,4790685483425,9500184418,5441,16000,3600,0
8/18/2020,4080398539419,4790685483200,9500188110,11068,27648,7416,0
8/18/2020,4080398539419,4790685552456,9500773538,3358,1728,312,0
8/18/2020,4080398539419,4790685552500,9505073046,21,3600,79,421
8/18/2020,4080398539419,4790685525450,9500188106,9062,5184,48,0
8/18/2020,4080398539419,4790685525424,9500105764,9680,0,0,0
8/18/2020,4080398539419,4790685663501,9500167987,7958,0,20,0
8/18/2020,4080398539419,4790685695486,9500350606,2724,0,40,0
8/18/2020,4080398539419,4790685265505,9505057956,160,0,0,160
8/19/2020,4080398539419,4790685000310,9500188105,55482,0,1943,0
8/19/2020,4080398539419,4790685000555,9500188108,21073,0,0,0
8/19/2020,4080398539419,4790685000884,9500959798,2670,5184,4199,0
8/19/2020,4080398539419,4790685001034,9500704337,2088,0,0,0
8/19/2020,4080398539419,4790685003515,9500704336,7320,0,0,0
8/19/2020,4080398539419,4790685004561,9500739441,1326,6048,153,0
8/19/2020,4080398539419,4790685004528,9500736916,1621,0,126,0
8/19/2020,4080398539419,4790685004585,9500736917,586,864,162,0
8/19/2020,4080398539419,4790685004622,9500736917,1278,99,18,0
8/19/2020,4080398539419,4790685005035,9500736937,45,0,0,0
8/19/2020,4080398539419,4790685006551,9500733337,312,360,48,120
8/19/2020,4080398539419,4790685006800,9500738679,1619,0,0,0
8/19/2020,4080398539419,4790685002420,9500777987,3984,1728,72,24
8/19/2020,4080398539419,4790685009313,9500753387,49553,13392,3258,0
8/19/2020,4080398539419,4790685010814,9500754147,3790,0,99,0
8/19/2020,4080398539419,4790685019550,9500306461,387,990,72,0
8/19/2020,4080398539419,4790685019928,9500785880,205,0,0,0
8/19/2020,4080398539419,4790685053558,9500305897,85678,0,640,0
8/19/2020,4080398539419,4790685054163,9500318810,0,549,0,27
8/19/2020,4080398539419,4790685054484,9500395894,197,24,0,0
8/19/2020,4080398539419,4790685054551,9500395895,0,5496,0,0
8/19/2020,4080398539419,4790685043992,9500765956,910,945,90,0
8/19/2020,4080398539419,4790685500508,9500188046,16399,0,24,0
8/19/2020,4080398539419,4790685500406,9500188101,102,0,0,0
8/19/2020,4080398539419,4790685508050,9500184495,31461,0,40,0
8/19/2020,4080398539419,4790685551453,9500188950,10921,6912,0,0
8/19/2020,4080398539419,4790685402052,9500188107,12078,0,504,0
8/19/2020,4080398539419,4790685402501,9500184411,2150,4000,780,0
8/19/2020,4080398539419,4790685430544,9500750956,104075,34560,7056,0
8/19/2020,4080398539419,4790685483151,1011075037,5949,0,54,0
8/19/2020,4080398539419,4790685483425,9500184418,2301,0,3140,0
8/19/2020,4080398539419,4790685483200,9500188110,4036,0,7032,0
8/19/2020,4080398539419,4790685552456,9500773538,3236,1728,120,0
8/19/2020,4080398539419,4790685552500,9505073046,2001,8400,20,600
